,,,,,,,,,
T,cp,h,s,PR,,,,,
865,1.114,591.7,7.8081,64.73,,,,,
870,1.115,597.3,7.8145,66.19,,,,,
875,1.116,602.8,7.8209,67.68,,,,,
880,1.117,608.4,7.8273,69.2,,,,,
885,1.118,614,7.8336,70.74,,,,,
890,1.119,619.6,7.8399,72.31,,,,,
895,1.12,525.2,7.8462,73.91,,,,,
900,1.121,630.8,7.8524,75.53,,,,,
905,1.122,636.4,7.8586,77.19,,,,,
910,1.124,642,7.8648,78.87,,,,,
915,1.125,647.7,7.871,80.58,,,,,
920,1.126,653.3,7.8771,82.32,,,,,
925,1.127,658.9,7.8832,84.09,,,,,
930,1.128,664.5,7.8893,85.88,,,,,
935,1.129,670.2,7.8953,87.71,,,,,
940,1.13,675.8,7.9014,89.57,,,,,
945,1.131,681.5,7.9074,91.46,,,,,
950,1.132,687.1,7.9133,93.38,,,,,
955,1.133,692.8,7.9193,95.34,,,,,
960,1.134,698.5,7.9252,97.32,,,,,
965,1.135,704.1,7.9311,99.34,,,,,
970,1.136,709.8,7.9369,101.39,,,,,
975,1.136,715.5,7.9428,103.47,,,,,
980,1.137,721.2,7.9486,105.59,,,,,
985,1.138,726.9,7.9544,107.74,,,,,
990,1.139,732.6,7.9602,109.93,,,,,
995,1.14,738.3,7.9659,112.15,,,,,
1000,1.141,744,7.9716,114.41,,,,,
1005,1.142,749.7,7.9773,116.7,,,,,
1010,1.143,755.4,7.983,119.02,,,,,
1015,1.144,761.1,7.9886,121.39,,,,,
1020,1.145,766.8,7.9942,123.79,,,,,
1025,1.145,772.5,7.9998,126.23,,,,,
1030,1.146,778.3,8.0054,128.7,,,,,
1035,1.147,784,8.011,131.21,,,,,
1040,1.148,789.7,8.0165,133.77,,,,,
1045,1.149,795.5,8.022,136.36,,,,,
1050,1.15,801.2,8.0275,138.99,,,,,
1055,1.15,807,8.033,141.66,,,,,
1060,1.151,812.7,8.0384,144.37,,,,,
1065,1.152,818.5,8.0438,147.12,,,,,
1070,1.153,824.3,8.0492,149.91,,,,,
1075,1.154,830,8.0546,152.74,,,,,
1080,1.154,835.8,8.0599,155.62,,,,,
1085,1.155,841.6,8.0653,158.54,,,,,
1090,1.156,847.3,8.0706,161.5,,,,,
1095,1.157,853.1,8.0759,164.5,,,,,
1100,1.158,858.9,8.0812,167.55,,,,,
1105,1.158,864.7,8.0864,170.65,,,,,
1110,1.159,870.5,8.0916,173.79,,,,,
1115,1.16,876.3,8.0969,176.97,,,,,
1120,1.161,882.1,8.102,180.2,,,,,
1125,1.162,887.9,8.1072,183.47,,,,,
1130,1.162,893.7,8.1124,186.8,,,,,
1135,1.163,899.5,8.1175,190.17,,,,,
1140,1.164,905.3,8.1226,193.59,,,,,
1145,1.165,911.2,8.1277,197.05,,,,,
1150,1.165,917,8.1328,200.6,,,,,
1155,1.166,922.8,8.1379,204.1,,,,,
1160,1.167,928.7,8.1429,207.7,,,,,
1165,1.168,934.5,8.1479,211.4,,,,,
1170,1.168,940.3,8.1529,215.1,,,,,
1175,1.169,946.2,8.1579,218.9,,,,,
1180,1.17,952,8.1629,222.7,,,,,
1185,1.171,957.9,8.1678,226.6,,,,,
1190,1.171,963.7,8.1727,230.5,,,,,
1195,1.172,969.6,8.1777,234.5,,,,,
1200,1.173,975.4,8.1825,238.5,,,,,
1205,1.173,981.3,8.1874,242.6,,,,,
1210,1.174,987.2,8.1923,246.7,,,,,
1215,1.175,993.1,8.1971,250.9,,,,,
1220,1.176,998.9,8.202,255.2,,,,,
1225,1.176,1004.8,8.2068,259.5,,,,,
1230,1.177,1010.7,8.2116,263.9,,,,,
1235,1.178,1016.6,8.2163,268.3,,,,,
1240,1.178,1022.5,8.2211,272.8,,,,,
1245,1.179,1028.4,8.2258,277.3,,,,,
1250,1.18,1034.3,8.2306,281.9,,,,,
1255,1.18,1040.2,8.2353,286.6,,,,,
1260,1.181,1046.1,8.24,291.3,,,,,
1265,1.182,1052,8.2447,296.1,,,,,
1270,1.182,1057.9,8.2493,301,,,,,
1275,1.183,1063.8,8.254,305.9,,,,,
1280,1.184,1069.7,8.2586,310.9,,,,,
1285,1.184,1075.6,8.2632,315.9,,,,,
1290,1.185,1081.6,8.2678,321,,,,,
1295,1.186,1087.5,8.2724,326.2,,,,,
1300,1.186,1093.4,8.277,331.4,,,,,
1305,1.187,1099.4,8.2815,336.7,,,,,
1310,1.188,1105.3,8.2861,342.1,,,,,
1315,1.188,1111.2,8.2906,347.5,,,,,
1320,1.189,1117.2,8.2951,353,,,,,
1325,1.19,1123.1,8.2996,358.6,,,,,
1330,1.19,1129.1,8.3041,364.2,,,,,
1335,1.191,1135,8.3085,369.9,,,,,
1340,1.192,1141,8.313,375.7,,,,,
1345,1.192,1146.9,8.3174,381.6,,,,,
1350,1.193,1152.9,8.3219,387.5,,,,,
1355,1.193,1158.9,8.3263,393.5,,,,,
1360,1.194,1164.8,8.3307,399.6,,,,,
1365,1.195,1170.8,8.3351,405.7,,,,,
1370,1.195,1176.8,8.3394,411.9,,,,,
1375,1.196,1182.8,8.3438,418.2,,,,,
1380,1.196,1188.7,8.3481,424.6,,,,,
1385,1.197,1194.7,8.3524,431,,,,,
1390,1.198,1200.7,8.3568,437.6,,,,,
1395,1.198,1206.7,8.3611,444.2,,,,,
1400,1.199,1212.7,8.3654,450.9,,,,,
1405,1.199,1218.7,8.3696,457.6,,,,,
1410,1.2,1224.7,8.3739,464.5,,,,,
